compound,mass
C14865,383.0554
C14866,145.9093
C14868,401.0215
C14869,323.957
C14870,121.9367
C14871,349.0944
C14874,334.1073
C15492,288.2453
C15493,300.2089
C15518,418.3447
C15519,402.3498
C15520,418.3447
C15606,162.0351
C15610,402.3498
C15613,1199.4392
C15650,242.0014
C15670,852.3549
C15672,838.3757
C15776,412.3705
C15777,398.3549
C15778,396.3392
C15780,396.3392
C15781,398.3549
C15782,412.3705
C15783,410.3549
C15808,442.3447
C15816,396.3392
C15915,414.3862
C15974,511.1181
C15976,497.1025
C15978,511.1181
C15980,851.1727
C16238,535.096
C16265,301.0468
C16300,276.2089
C16327,1043.3241
C16328,1041.3085
C16330,1057.3034
C16331,1015.2928
C16332,1013.2772
C16334,1029.2721
C16335,987.2615
C16336,985.2459
C16338,1001.2408
C16339,959.2302
C16353,166.0491
C16355,182.044
C16356,196.0596
C16358,166.0491
C16359,182.044
C16360,196.0596
C16361,210.0753
C16362,200.0909
C16365,226.0702
C16453,207.1008
C16543,518.2165
C16545,387.2198
C16551,278.0354
C16560,250.1681
C16561,206.1419
C16565,159.1735
C16577,475.1842
C16578,461.1686
C16582,254.0903
C16584,254.0903
C16586,195.0895
C16587,193.0739
C16591,209.0688
C16595,193.0739
C16596,191.0582
C16608,310.1481
C16609,296.1325
C16610,311.0958
C16612,295.1009
C16613,184.0055
C16614,166.0313
C16615,378.0399
C16617,523.9569
C16618,380.0192
C16619,379.0352
C16620,393.0508
C16622,116.0586
C16630,132.0335
C16631,150.0441
C16632,107.0383
C16633,262.0601
C16634,342.0264
C16635,245.0812
C16637,214.0242
C16641,586.2791
C16643,461.1686
C16677,316.2038
C16679,316.2038
C16680,316.2038
C16681,284.214
C16682,286.2297
C16741,162.1004
C16756,328.0583
C16834,88.0888
C16836,212.1525
C16837,144.0899
C17331,416.329
C17332,416.329
C17333,416.329
C17335,432.324
C17336,416.329
C17337,430.3083
C17339,416.329
C17343,1199.4392
C17345,1183.4443
C17346,1183.4443
C17432,858.5692
C17938,191.0219
C18026,881.1469
C18038,332.2351
C18040,332.2351
C18041,318.2559
C18042,320.2715
C18043,466.3117
C18044,396.19699999999995
C18045,304.2038
C18075,304.2038
C18231,432.324
C18239,363.05800000000005
C18872,124.9869
C18902,127.9377
C18904,181.9482
C19488,256.1252
C19489,272.1201
C19490,290.1307
C19559,306.1256
C19561,272.1201
C19562,352.0769
C19563,223.0957
C19566,223.0957
C19574,209.1164
C19577,225.1113
C19580,225.1113
C19586,328.0583
C19588,346.0689
C19594,344.0532
C19595,328.0583
C19604,272.1201
C19607,290.1307
C19691,325.2076
C19692,121.9178
C20238,881.1469
C20239,211.0705
C20775,321.0696
C20776,433.1333
C21015,232.1059
C21016,289.1274
C21017,483.0868
C21028,128.0586
C21029,146.0691
C21106,400.3705
